Wall time,Step,Value
1562150813.3467863,817158,0.984375
1562150836.9131405,818694,1.0
1562150861.259432,820294,1.0
1562150867.9576712,820742,0.96875
1562150872.72388,821062,0.984375
1562150895.6382513,822598,1.0
1562150913.3256333,823750,0.953125
1562150922.173764,824326,0.984375
1562150930.757416,824902,1.0
1562151005.848769,829894,0.953125
1562151141.1267369,830278,0.921875
1562151169.933797,832177,0.984375
1562151176.645322,832625,0.96875
1562151185.239145,833201,0.96875
1562151243.4609122,837105,0.96875
1562151247.2678058,837361,0.96875
1562151252.0491111,837681,0.96875
1562151274.95624,839217,0.9375
1562151285.441844,839921,0.96875
1562151289.2476017,840177,0.984375
1562151314.4184697,841841,0.953125
1562151315.3719819,841905,0.984375
1562151326.122817,842609,0.984375
1562151376.347793,845937,0.96875
1562151437.7366772,850033,0.984375
1562151439.6502666,850161,1.0
1562151449.4499016,850801,0.921875
1562151480.442183,852785,0.921875
1562151527.710881,855793,0.953125
1562151549.7560494,857265,0.984375
1562151598.8016913,860465,0.90625
1562151631.774975,862641,1.0
1562151693.709752,866609,0.953125
1562151725.653203,868593,0.96875
1562151728.6852741,868785,0.953125
1562151788.6606965,872625,1.0
1562151923.1979086,873841,0.9718935489654541
1562151935.1258593,874353,1.0
1562151976.251896,877084,0.984375
1562151980.0574665,877340,0.953125
1562152001.8518624,878812,0.96875
1562152004.7041047,879004,0.953125
1562152027.5433557,880540,0.96875
1562152030.4145095,880732,0.984375
1562152041.8907788,881500,1.0
1562152147.4666798,888604,0.953125
1562152149.365998,888732,0.984375
1562152168.3743737,890012,0.96875
1562152242.618774,895004,0.9375
1562152259.7547584,896156,0.96875
1562152347.1948023,902044,0.953125
1562152376.6572254,904028,0.984375
1562152401.3751094,905692,1.0
1562152441.2724879,908380,0.96875
1562152458.397453,909532,0.96875
1562152463.1557906,909852,0.96875
1562152480.2745237,911004,0.953125
1562152491.698684,911772,0.96875
1562152494.558992,911964,0.921875
1562152544.9719093,915356,0.984375
1562152548.7618444,915612,0.984375
1562152710.2149022,919111,0.96875
1562152729.328943,920391,0.984375
1562152769.217203,923079,0.96875
1562152771.1133816,923207,0.96875
1562152798.6328406,925063,1.0
1562152802.4266458,925319,1.0
1562152805.2783656,925511,0.984375
1562152811.9369595,925959,0.953125
1562152821.4387758,926599,0.984375
1562152860.5262866,929223,0.96875
1562152880.491998,930567,0.984375
1562152882.3912275,930695,1.0
1562152886.1899822,930951,0.984375
1562152945.1851773,934919,0.96875
1562152983.199549,937479,0.953125
